id,key,value,type
170434,odbl,clean,regular
170447,highway,motorway_junction,regular
170447,name,Stoneham Interchange,regular
170447,ref,5,regular
242720,highway,traffic_signals,regular
242743,highway,traffic_signals,regular
243871,highway,mini_roundabout,regular
243871,direction,clockwise,regular
247796,highway,traffic_signals,regular
254359,cycleway,asl,regular
254379,highway,traffic_signals,regular
254398,odbl,clean,regular
254401,odbl,clean,regular
254402,highway,traffic_signals,regular
254412,highway,crossing,regular
254412,sloped_curb,yes,regular
254412,tactile_paving,yes,regular
254414,highway,traffic_signals,regular
254415,odbl,clean,regular
254427,highway,traffic_signals,regular
254429,highway,traffic_signals,regular
254429,crossing,island;uncontrolled,regular
254432,odbl,clean,regular
254432,highway,traffic_signals,regular
254434,highway,traffic_signals,regular
254435,highway,traffic_signals,regular
254436,highway,traffic_signals,regular
254439,highway,traffic_signals,regular
254444,highway,traffic_signals,regular
254446,highway,traffic_signals,regular
254461,source,Bing,regular
254463,highway,traffic_signals,regular
254463,crossing,pelican,regular
254467,highway,mini_roundabout,regular
254467,direction,clockwise,regular
254469,highway,mini_roundabout,regular
254489,highway,traffic_signals,regular
254527,highway,traffic_signals,regular
254527,crossing,traffic_signals,regular
254527,tactile_paving,yes,regular
254527,sound,yes,traffic_signals
254527,vibration,yes,traffic_signals
254537,highway,traffic_signals,regular
254664,highway,traffic_signals,regular
254666,highway,mini_roundabout,regular
254666,direction,clockwise,regular
254671,highway,traffic_signals,regular
254673,highway,traffic_signals,regular
254673,crossing,traffic_signals,regular
254692,highway,traffic_signals,regular
254709,odbl,clean,regular
254765,odbl,clean,regular
254833,highway,traffic_signals,regular
254836,highway,traffic_signals,regular
254841,highway,traffic_signals,regular
254847,odbl,clean,regular
254866,highway,traffic_signals,regular
254896,odbl,clean,regular
254896,highway,mini_roundabout,regular
254896,direction,clockwise,regular
254899,highway,traffic_signals,regular
254918,highway,traffic_signals,regular
254975,barrier,gate,regular
254980,highway,motorway_junction,regular
254980,name,Nursling Interchange,regular
254980,ref,1,regular
254988,highway,traffic_signals,regular
269087,created_by,osmeditor2,regular
271020,name,Rownhams,regular
271020,amenity,place_of_worship,regular
271020,religion,christian,regular
271020,denomination,anglican,regular
271021,name,St. Nicolas Church,regular
271021,amenity,place_of_worship,regular
271021,website,http://www.nsab.org.uk/st-nicolas/,regular
271021,religion,christian,regular
271021,denomination,anglican,regular
271032,man_made,tower,regular
271032,created_by,Potlatch 0.8b,regular
271036,name,Swaythling,regular
271036,is_in,Southampton,regular
271036,place,suburb,regular
271051,is_in,"Southampton, Hampshire, England, UK",regular
271051,name,Woolston,regular
